"id";"golfer_id";"score";"course_name";"created_at"
106;8;39;"Robert A. Black";"2008-09-03 00:00:00"
107;10;49;"Robert A. Black";"2008-09-03 00:00:00"
108;1;41;"Robert A. Black";"2008-09-17 00:00:00"
109;2;43;"Robert A. Black";"2008-09-17 00:00:00"
110;3;45;"Robert A. Black";"2008-09-17 00:00:00"
111;4;36;"Robert A. Black";"2008-09-17 00:00:00"
112;12;39;"Robert A. Black";"2008-09-17 00:00:00"
113;7;43;"Robert A. Black";"2008-09-17 00:00:00"
114;8;36;"Robert A. Black";"2008-09-17 00:00:00"
115;10;40;"Robert A. Black";"2008-09-17 00:00:00"
116;9;36;"Robert A. Black";"2008-09-17 00:00:00"
117;1;40;"Robert A. Black";"2008-09-21 00:00:00"
118;2;37;"Robert A. Black";"2008-09-21 00:00:00"
119;3;50;"Robert A. Black";"2008-09-21 00:00:00"
120;6;43;"Robert A. Black";"2008-09-21 00:00:00"
121;7;43;"Robert A. Black";"2008-09-21 00:00:00"
122;8;38;"Robert A. Black";"2008-09-21 00:00:00"
123;9;39;"Robert A. Black";"2008-09-21 00:00:00"
124;10;46;"Robert A. Black";"2008-09-21 00:00:00"
125;1;40;"Robert A. Black";"2008-09-22 00:00:00"
126;2;41;"Robert A. Black";"2008-09-22 00:00:00"
127;3;47;"Robert A. Black";"2008-09-22 00:00:00"
128;6;40;"Robert A. Black";"2008-09-22 00:00:00"
129;7;43;"Robert A. Black";"2008-09-22 00:00:00"
130;8;39;"Robert A. Black";"2008-09-22 00:00:00"
131;9;36;"Robert A. Black";"2008-09-22 00:00:00"
132;10;43;"Robert A. Black";"2008-09-22 00:00:00"
133;2;41;"Robert A. Black";"2008-10-08 00:00:00"
134;3;49;"Robert A. Black";"2008-10-08 00:00:00"
135;6;39;"Robert A. Black";"2008-10-08 00:00:00"
136;7;42;"Robert A. Black";"2008-10-08 00:00:00"
137;8;38;"Robert A. Black";"2008-10-08 00:00:00"
138;10;48;"Robert A. Black";"2008-10-08 00:00:00"
139;12;44;"Robert A. Black";"2009-04-17 00:00:00"
140;11;41;"Robert A. Black";"2009-04-28 00:00:00"
141;2;43;"Robert A. Black";"2009-04-28 00:00:00"
142;4;39;"Robert A. Black";"2009-04-28 00:00:00"
143;12;40;"Robert A. Black";"2009-04-28 00:00:00"
144;6;43;"Robert A. Black";"2009-04-28 00:00:00"
145;7;42;"Robert A. Black";"2009-04-28 00:00:00"
146;10;50;"Robert A. Black";"2009-04-28 00:00:00"
147;1;38;"Robert A. Black";"2009-05-05 00:00:00"
148;2;41;"Robert A. Black";"2009-05-05 00:00:00"
149;3;47;"Robert A. Black";"2009-05-05 00:00:00"
150;4;38;"Robert A. Black";"2009-05-05 00:00:00"
151;5;47;"Robert A. Black";"2009-05-05 00:00:00"
152;7;40;"Robert A. Black";"2009-05-05 00:00:00"
153;11;45;"Robert A. Black";"2009-05-05 00:00:00"
154;10;49;"Robert A. Black";"2009-05-05 00:00:00"
155;1;38;"Robert A. Black";"2009-05-12 00:00:00"
156;11;40;"Robert A. Black";"2009-05-12 00:00:00"
157;4;39;"Robert A. Black";"2009-05-12 00:00:00"
158;5;44;"Robert A. Black";"2009-05-12 00:00:00"
